query_id,conversation_id,category,R@1,R@10,MRR,Hit@10,method
conv-26_qa_0,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_1,conv-26,2,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_10,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_100,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_101,conv-26,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_102,conv-26,4,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_103,conv-26,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_104,conv-26,4,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_105,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_106,conv-26,4,0.0,1.0,0.1111111111111111,1.0,ZScore_RawERK
conv-26_qa_107,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_108,conv-26,4,0.0,1.0,0.1111111111111111,1.0,ZScore_RawERK
conv-26_qa_109,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_11,conv-26,1,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_110,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_111,conv-26,4,0.0,1.0,0.25,1.0,ZScore_RawERK
conv-26_qa_112,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_113,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_114,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_115,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_116,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_117,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_118,conv-26,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_119,conv-26,4,0.0,1.0,0.25,1.0,ZScore_RawERK
conv-26_qa_12,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_120,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_121,conv-26,4,0.0,1.0,0.1,1.0,ZScore_RawERK
conv-26_qa_122,conv-26,4,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_123,conv-26,4,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_124,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_125,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_126,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_127,conv-26,4,0.0,1.0,0.14285714285714285,1.0,ZScore_RawERK
conv-26_qa_128,conv-26,4,0.0,1.0,0.2,1.0,ZScore_RawERK
conv-26_qa_129,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_13,conv-26,1,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_130,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_131,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_132,conv-26,4,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_133,conv-26,4,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_134,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_135,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_136,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_137,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_138,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_139,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_14,conv-26,3,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_140,conv-26,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_141,conv-26,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_142,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_143,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_144,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_145,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_146,conv-26,4,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_147,conv-26,4,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_148,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_149,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_15,conv-26,1,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_150,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_151,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_16,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_17,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_18,conv-26,1,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_19,conv-26,1,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_2,conv-26,3,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_20,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_21,conv-26,2,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_22,conv-26,3,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_23,conv-26,1,0.0,1.0,0.25,1.0,ZScore_RawERK
conv-26_qa_24,conv-26,1,0.0,1.0,0.2,1.0,ZScore_RawERK
conv-26_qa_25,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_26,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_27,conv-26,3,0.0,1.0,0.125,1.0,ZScore_RawERK
conv-26_qa_28,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_29,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_3,conv-26,1,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_30,conv-26,3,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_31,conv-26,2,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_32,conv-26,1,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_33,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_34,conv-26,1,0.0,1.0,0.1111111111111111,1.0,ZScore_RawERK
conv-26_qa_35,conv-26,2,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_36,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_37,conv-26,1,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_38,conv-26,1,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_39,conv-26,1,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_4,conv-26,1,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_40,conv-26,1,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_41,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_42,conv-26,3,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_43,conv-26,1,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_44,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_45,conv-26,2,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_46,conv-26,3,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_47,conv-26,1,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_48,conv-26,1,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_49,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_5,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_50,conv-26,3,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_51,conv-26,1,0.0,1.0,0.1,1.0,ZScore_RawERK
conv-26_qa_52,conv-26,1,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_53,conv-26,2,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_54,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_55,conv-26,1,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_56,conv-26,1,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_57,conv-26,2,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_58,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_59,conv-26,3,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_6,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_60,conv-26,1,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_61,conv-26,1,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_62,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_63,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_64,conv-26,3,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_65,conv-26,1,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_66,conv-26,1,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_67,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_68,conv-26,2,0.0,1.0,0.25,1.0,ZScore_RawERK
conv-26_qa_69,conv-26,3,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_7,conv-26,1,0.0,1.0,0.25,1.0,ZScore_RawERK
conv-26_qa_70,conv-26,1,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_71,conv-26,1,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_72,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_73,conv-26,2,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-26_qa_74,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_75,conv-26,1,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_76,conv-26,1,0.0,1.0,0.25,1.0,ZScore_RawERK
conv-26_qa_77,conv-26,3,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_78,conv-26,1,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_79,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_8,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_80,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_81,conv-26,3,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_82,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_83,conv-26,4,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-26_qa_84,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_85,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_86,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_87,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_88,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_89,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_9,conv-26,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_90,conv-26,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-26_qa_91,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_92,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_93,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_94,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_95,conv-26,4,0.0,1.0,0.25,1.0,ZScore_RawERK
conv-26_qa_96,conv-26,4,0.0,1.0,0.14285714285714285,1.0,ZScore_RawERK
conv-26_qa_97,conv-26,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-26_qa_98,conv-26,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-26_qa_99,conv-26,4,0.0,1.0,0.25,1.0,ZScore_RawERK
conv-30_qa_0,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_1,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_10,conv-30,2,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-30_qa_11,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_12,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_13,conv-30,2,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-30_qa_14,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_15,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_16,conv-30,2,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_17,conv-30,1,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_18,conv-30,1,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_19,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_2,conv-30,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_20,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_21,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_22,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_23,conv-30,1,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_24,conv-30,1,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_25,conv-30,1,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-30_qa_26,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_27,conv-30,1,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_28,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_29,conv-30,1,0.0,1.0,0.2,1.0,ZScore_RawERK
conv-30_qa_3,conv-30,1,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_30,conv-30,2,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_31,conv-30,1,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_32,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_33,conv-30,2,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-30_qa_34,conv-30,2,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-30_qa_35,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_36,conv-30,2,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-30_qa_37,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_38,conv-30,2,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-30_qa_39,conv-30,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-30_qa_4,conv-30,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-30_qa_40,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_41,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_42,conv-30,4,0.0,1.0,0.2,1.0,ZScore_RawERK
conv-30_qa_43,conv-30,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_44,conv-30,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_45,conv-30,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_46,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_47,conv-30,4,0.0,1.0,0.1,1.0,ZScore_RawERK
conv-30_qa_48,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_49,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_5,conv-30,1,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_50,conv-30,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_51,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_52,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_53,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_54,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_55,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_56,conv-30,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_57,conv-30,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_58,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_59,conv-30,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-30_qa_6,conv-30,2,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-30_qa_60,conv-30,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_61,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_62,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_63,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_64,conv-30,4,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-30_qa_65,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_66,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_67,conv-30,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-30_qa_68,conv-30,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_69,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_7,conv-30,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_70,conv-30,4,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-30_qa_71,conv-30,4,0.0,1.0,0.2,1.0,ZScore_RawERK
conv-30_qa_72,conv-30,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_73,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_74,conv-30,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_75,conv-30,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_76,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_77,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_78,conv-30,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-30_qa_8,conv-30,2,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-30_qa_80,conv-30,4,0.0,1.0,0.1,1.0,ZScore_RawERK
conv-30_qa_81,conv-30,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-30_qa_9,conv-30,1,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_0,conv-41,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_1,conv-41,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_10,conv-41,2,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-41_qa_100,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_101,conv-41,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-41_qa_102,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_103,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_104,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_105,conv-41,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-41_qa_106,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_107,conv-41,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-41_qa_108,conv-41,4,0.0,1.0,0.2,1.0,ZScore_RawERK
conv-41_qa_109,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_11,conv-41,1,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-41_qa_110,conv-41,4,0.0,1.0,0.2,1.0,ZScore_RawERK
conv-41_qa_111,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_112,conv-41,4,0.0,1.0,0.25,1.0,ZScore_RawERK
conv-41_qa_113,conv-41,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-41_qa_114,conv-41,4,0.0,1.0,0.125,1.0,ZScore_RawERK
conv-41_qa_115,conv-41,4,0.0,1.0,0.14285714285714285,1.0,ZScore_RawERK
conv-41_qa_116,conv-41,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-41_qa_117,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_118,conv-41,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-41_qa_119,conv-41,4,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-41_qa_12,conv-41,1,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_120,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_121,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_122,conv-41,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-41_qa_123,conv-41,4,0.0,1.0,0.14285714285714285,1.0,ZScore_RawERK
conv-41_qa_124,conv-41,4,0.0,1.0,0.2,1.0,ZScore_RawERK
conv-41_qa_125,conv-41,4,0.0,1.0,0.3333333333333333,1.0,ZScore_RawERK
conv-41_qa_126,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_127,conv-41,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-41_qa_128,conv-41,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-41_qa_129,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_13,conv-41,2,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_130,conv-41,4,0.0,1.0,0.16666666666666666,1.0,ZScore_RawERK
conv-41_qa_131,conv-41,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-41_qa_132,conv-41,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-41_qa_133,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_134,conv-41,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-41_qa_135,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_136,conv-41,4,0.0,0.0,0.0,0.0,ZScore_RawERK
conv-41_qa_137,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_138,conv-41,4,0.0,1.0,0.5,1.0,ZScore_RawERK
conv-41_qa_139,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_14,conv-41,3,0.0,1.0,0.1111111111111111,1.0,ZScore_RawERK
conv-41_qa_140,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_141,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_142,conv-41,4,0.0,1.0,0.25,1.0,ZScore_RawERK
conv-41_qa_143,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_144,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
conv-41_qa_145,conv-41,4,1.0,1.0,1.0,1.0,ZScore_RawERK
